category,feature_type,name,area_km2,countries,country_count,continents,center_lat,center_lon,wikidata_id,area_source
Island,Island,Bioko,1894.8,Equatorial Guinea,1,Africa,3.4906,8.7178,Q205022,Calculated from Natural Earth outlines
Island,Island,Belyy I.,1846.8,Russia,1,Europe,73.254,70.8119,Q548594,Calculated from Natural Earth outlines
Island,Island,Mauritius,1836.2,Mauritius,1,Africa,-20.2564,57.5837,Q2656389,Calculated from Natural Earth outlines
Island,Island group,Maui,1826.3,United States,1,North America,20.8232,-156.3292,Q188705,Calculated from Natural Earth outlines
Island,Island,Manus,1751.7,Papua New Guinea,1,Oceania,-2.0793,146.9496,Q602106,Calculated from Natural Earth outlines
Island,Island,Cheju I.,1746.3,South Korea,1,Asia,33.3752,126.5549,Q27296123,Calculated from Natural Earth outlines
Island,Island,Karaginskiy I.,1735.0,Russia,1,Europe,58.8695,164.0922,Q1146381,Calculated from Natural Earth outlines
Island,Island group,Nicobar Islands,1734.0,India,1,Asia,8.0175,93.2774,Q157286,Calculated from Natural Earth outlines
Island,Island,Bol’shoy Begichev I.,1686.3,Russia,1,Europe,74.3351,112.4305,Q891593,Calculated from Natural Earth outlines
Island,Island group,Savai‘i,1637.1,Samoa,1,Oceania,-13.6341,-172.4307,Q337519,Calculated from Natural Earth outlines
Island,Island,Middle Andaman,1595.4,India,1,Asia,12.4958,92.8408,Q222853,Calculated from Natural Earth outlines
Island,Island,Fraser I.,1569.9,Australia,1,Oceania,-25.2597,153.1607,Q134905,Calculated from Natural Earth outlines
Island,Island,Greem Bell I.,1569.7,Russia,1,Europe,80.9547,64.231,Q1465918,Calculated from Natural Earth outlines
Island,Island,Natuna Basar,1562.5,Indonesia,1,Asia,3.9385,108.21,Q267725,Calculated from Natural Earth outlines
Island,Island,Fuerteventura,1555.8,Spain,1,Europe,28.3784,-14.0193,Q192534,Calculated from Natural Earth outlines
Island,Island,Simeulue,1545.2,Indonesia,1,Asia,2.6282,96.0569,Q3809449,Calculated from Natural Earth outlines
Island,Island,Lesbos,1533.8,Greece,1,Europe,39.1778,26.0065,Q128087,Calculated from Natural Earth outlines
Island,Island,Stewart I.,1511.5,New Zealand,1,Oceania,-46.9782,167.9418,Q41684,Calculated from Natural Earth outlines
Island,Island group,O‘ahu,1490.3,United States,1,North America,21.4945,-158.0442,Q131347,Calculated from Natural Earth outlines
Island,Island group,Îles De La Société,1484.4,French Polynesia,1,Oceania,-16.8113,-151.8802,Q118920,Calculated from Natural Earth outlines
Island,Island group,Arquipélago dos Bijagós,1481.7,Guinea-Bissau,1,Africa,11.3651,-15.9848,Q664687,Calculated from Natural Earth outlines
Island,Island,Kunashir,1481.4,Russia,1,Europe,44.0903,145.8301,Q847285,Calculated from Natural Earth outlines
Island,Island,Gran Canaria,1460.8,Spain,1,Europe,27.9518,-15.5969,Q178925,Calculated from Natural Earth outlines
Island,Island,Zanzibar I.,1429.7,Tanzania,1,Africa,-6.0818,39.3157,Q706541,Calculated from Natural Earth outlines
Island,Island group,Calamian Group,1413.7,Philippines,1,Asia,11.9822,120.0879,Q1026221,Calculated from Natural Earth outlines
Island,Island group,Commander Islands,1409.2,Russia,1,Europe,54.7964,167.1035,Q208268,Calculated from Natural Earth outlines
Island,Island group,Kaua‘i,1403.9,United States,1,North America,22.0577,-159.5589,Q201026,Calculated from Natural Earth outlines
Island,Island group,Urup,1382.9,Russia,1,Europe,45.9014,149.991,Q847281,Calculated from Natural Earth outlines
Island,Island,Rhodes,1360.3,Greece,1,Europe,36.1703,27.9061,Q43048,Calculated from Natural Earth outlines
Island,Island group,Shetland Is.,1350.6,United Kingdom,1,Europe,60.1199,-1.272,Q47134,Calculated from Natural Earth outlines
Island,Island group,Føroyar,1327.7,Faroe Islands,1,Europe,61.8707,-6.8881,Q4628,Calculated from Natural Earth outlines
Island,Island group,Okinawa,1282.6,Japan,1,Asia,26.4869,127.9107,Q600614,Calculated from Natural Earth outlines
Island,Island,Flinders I.,1281.1,Australia,1,Oceania,-40.0013,148.0949,Q21943427,Calculated from Natural Earth outlines
Island,Island group,Louisiade Archipelago,1257.5,Papua New Guinea,1,Oceania,-11.0438,153.0085,Q1127200,Calculated from Natural Earth outlines
Island,Island,S. Andaman,1178.6,India,1,Asia,11.8534,92.6692,Q1473243,Calculated from Natural Earth outlines
Island,Island group,Mariana Isands,1143.5,"Guam, Northern Mariana Islands",2,Oceania,16.9819,146.0067,Q153732,Calculated from Natural Earth outlines
Island,Island group,Caroline Islands,1142.1,"Micronesia, Palau",2,Oceania,5.1713,158.5311,Q118350,Calculated from Natural Earth outlines
Island,Island,Bering I.,1096.6,Russia,1,Europe,55.0288,166.2537,Q193962,Calculated from Natural Earth outlines
Island,Island,N. Andaman,1087.0,India,1,Asia,13.2413,92.9655,Q2000510,Calculated from Natural Earth outlines
Island,Island group,Îles Marquesas,1074.4,French Polynesia,1,Oceania,-9.1335,-139.7794,Q172697,Calculated from Natural Earth outlines
Island,Island,King I.,1057.1,Australia,1,Oceania,-39.8531,143.9826,Q794502,Calculated from Natural Earth outlines
Island,Island,Upolu,1055.7,Samoa,1,Oceania,-13.9308,-171.7858,Q274569,Calculated from Natural Earth outlines
Island,Island,Great Nicobar,1048.3,India,1,Asia,6.9871,93.8206,Q219774,Calculated from Natural Earth outlines
Island,Island group,Tahiti,1028.5,French Polynesia,1,Oceania,-17.6768,-149.4659,Q42000,Calculated from Natural Earth outlines
Island,Island group,Ösumi Is.,1018.4,Japan,1,Asia,30.4949,130.5445,Q386104,Calculated from Natural Earth outlines
Island,Island,Lofoten,974.7,Norway,1,Europe,68.3287,14.7044,Q186822,Calculated from Natural Earth outlines
Island,Island,Mornington I.,962.7,Australia,1,Oceania,-16.5734,139.3346,Q1586110,Calculated from Natural Earth outlines
Island,Island group,Santa Cruz,951.1,Ecuador,1,South America,-0.6318,-90.3689,Q713127,Calculated from Natural Earth outlines
Island,Island group,Kiribati,949.9,Kiribati,1,Oceania,-2.8818,-164.2602,Q710,Calculated from Natural Earth outlines
Island,Island,Grande Comore,947.4,Comoros,1,Africa,-11.6415,43.313,Q244978,Calculated from Natural Earth outlines
Island,Island group,Orkney Is.,934.7,United Kingdom,1,Europe,59.0972,-2.9188,Q100166,Calculated from Natural Earth outlines
Island,Island group,Channel Islands,924.5,United States,1,North America,33.3221,-119.0371,Q306147,Calculated from Natural Earth outlines
Island,Island group,Lyakhov Islands,914.4,Russia,1,Europe,73.5721,141.9892,,Calculated from Natural Earth outlines
Island,Island group,Lyakhov Islands,914.4,Russia,1,Europe,74.0931,140.5775,,Calculated from Natural Earth outlines
Island,Island,Santiago,912.0,Cabo Verde,1,Africa,15.124,-23.6493,Q108448,Calculated from Natural Earth outlines
Island,Island group,Santa Cruz Islands,870.0,Solomon Islands,1,Oceania,-10.8176,166.413,Q148839,Calculated from Natural Earth outlines
Island,Island,Erromango,833.8,Vanuatu,1,Oceania,-18.8072,169.1067,Q859646,Calculated from Natural Earth outlines
Island,Island,São Tomé,825.9,Sao Tome and Principe,1,Africa,0.2123,6.5996,Q233124,Calculated from Natural Earth outlines
Island,Island,Atka,824.2,United States,1,North America,52.2083,-174.2607,Q756016,Calculated from Natural Earth outlines
Island,Island,South Pagai,822.2,Indonesia,1,Asia,-3.0479,100.3606,Q1578047,Calculated from Natural Earth outlines
Island,Island,Éfaté,817.9,Vanuatu,1,Oceania,-17.6652,168.3563,Q266594,Calculated from Natural Earth outlines
Island,Island group,Chatham Islands,817.4,New Zealand,1,Oceania,-43.9988,-176.5197,Q115459,Calculated from Natural Earth outlines
Island,Island group,Talaud Is.,803.8,Indonesia,1,Asia,4.2783,126.8348,Q15844,Calculated from Natural Earth outlines
Island,Island group,Babuyan Is.,774.8,Philippines,1,Asia,19.8482,121.7668,Q1980628,Calculated from Natural Earth outlines
Island,Island group,Dahlak Arch.,773.7,Eritrea,1,Africa,15.8762,40.1925,Q639648,Calculated from Natural Earth outlines
Island,Island,Lanzarote,772.7,Spain,1,Europe,29.0347,-13.6396,Q182432,Calculated from Natural Earth outlines
Island,Island,Pemba I.,771.1,Tanzania,1,Africa,-5.175,39.7994,Q208664,Calculated from Natural Earth outlines
Island,Island,Grand Bahama,702.1,Bahamas,1,North America,26.6151,-78.5627,Q866345,Calculated from Natural Earth outlines
Island,Island,Madeira,698.5,Portugal,1,Europe,32.7589,-16.9572,Q30188,Calculated from Natural Earth outlines
Island,Island group,Sakishima Is.,695.9,Japan,1,Asia,24.4825,124.0338,,Calculated from Natural Earth outlines
Island,Island,Santo Antão,691.3,Cabo Verde,1,Africa,17.059,-25.1737,Q112232,Calculated from Natural Earth outlines
Island,Island,São Miguel,682.9,Portugal,1,Europe,37.7952,-25.4861,Q209036,Calculated from Natural Earth outlines
